!!SBtab	SBtabVersion=’1.0’	TableType=’Reaction’	TableName=’K. brasiliensis SBTab Reaction Table’
!ID	!ReactionFormula	!Identifiers:kegg.reaction	!Identifiers:biocyc	!Gene:Symbol	!IsReversible	!SBML:reaction:id
sbtabreact45	C06197 + C00001 <=> C00080 + C00020 + C00008		BIS5__45__ADENOSYL__45__TRIPHOSPHATASE__45__RXN	testGeneSymbol45	True	sbtabreact45
sbtabreact46	cis__45__5__45__enoyl__45__CoA + C00007 <=> trans__45__2__45__cis__45__5__45__dienoyl__45__CoA + C00027		RXN__45__12518	testGeneSymbol46	False	sbtabreact46
sbtabreact47	C00080 + C00078 + C00007 <=> C02700		RXN__45__8665	testGeneSymbol47	False	sbtabreact47
sbtabreact48	_3__45__hydroxy__45__cis__45__D7__45__tetraecenoyl__45__ACPs + C00006 <=> _3__45__oxo__45__cis__45__D7__45__tetradecenoyl__45__ACPs + C00005 + C00080		RXN__45__10655	testGeneSymbol48	True	sbtabreact48
sbtabreact49	C02041 + C00007 <=> POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C16__45__H32 + C00027		RXN__45__11026__45__CPD__45__9965__47__OXYGEN__45__MOLECULE__47____47__POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C16__45__H32__47__HYDROGEN__45__PEROXIDE__46__84__46__	testGeneSymbol49	False	sbtabreact49
sbtabreact50	C00412 + C00007 <=> C16218 + C00027		RXN__45__11026__45__STEAROYL__45__COA__47__OXYGEN__45__MOLECULE__47____47__CPD__45__10262__47__HYDROGEN__45__PEROXIDE__46__58__46__	testGeneSymbol50	False	sbtabreact50
sbtabreact51	C00154 + C00007 <=> POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C12__45__H24 + C00027		RXN__45__11026__45__PALMITYL__45__COA__47__OXYGEN__45__MOLECULE__47____47__POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C12__45__H24__47__HYDROGEN__45__PEROXIDE__46__88__46__	testGeneSymbol51	False	sbtabreact51
sbtabreact52	C02593 + C00007 <=> POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C10__45__WATER + C00027		RXN__45__11026__45__TETRADECANOYL__45__COA__47__OXYGEN__45__MOLECULE__47____47__POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C10__45__H20__47__HYDROGEN__45__PEROXIDE__46__93__46__	testGeneSymbol52	False	sbtabreact52
sbtabreact53	C01832 + C00007 <=> C03221 + C00027		RXN__45__11026__45__LAUROYLCOA__45__CPD__47__OXYGEN__45__MOLECULE__47____47__CPD__45__7222__47__HYDROGEN__45__PEROXIDE__46__59__46__	testGeneSymbol53	False	sbtabreact53
sbtabreact54	C05274 + C00007 <=> C05275 + C00027		RXN__45__11026__45__CPD__45__10267__47__OXYGEN__45__MOLECULE__47____47__T2__45__DECENOYL__45__COA__47__HYDROGEN__45__PEROXIDE__46__61__46__	testGeneSymbol54	False	sbtabreact54
sbtabreact55	C01944 + C00007 <=> C05276 + C00027		RXN__45__12669	testGeneSymbol55	False	sbtabreact55
sbtabreact56	C05270 + C00007 <=> C05271 + C00027		RXN__45__11026__45__HEXANOYL__45__COA__47__OXYGEN__45__MOLECULE__47____47__CPD0__45__2121__47__HYDROGEN__45__PEROXIDE__46__58__46__	testGeneSymbol56	False	sbtabreact56
sbtabreact57	C00136 + C00007 <=> C00877 + C00027		RXN__45__11026__45__BUTYRYL__45__COA__47__OXYGEN__45__MOLECULE__47____47__CROTONYL__45__COA__47__HYDROGEN__45__PEROXIDE__46__60__46__	testGeneSymbol57	False	sbtabreact57
sbtabreact58	cis__45__cis__45__D9__45__27__45__3__45__hydroxyC46__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D9__45__27__45__3__45__oxo__45__C46__45__2__45__ACPs + C00005 + C00080		RXN1G__45__613	testGeneSymbol58	True	sbtabreact58
sbtabreact59	cis__45__cis__45__D15__45__27__45__3__45__hydroxyC46__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D15__45__27__45__3__45__oxo__45__C46__45__2__45__ACPs + C00005 + C00080		RXN1G__45__481	testGeneSymbol59	True	sbtabreact59
sbtabreact60	cis__45__cis__45__D19__45__37__45__3__45__hydroxyC56__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D19__45__37__45__3__45__oxo__45__C56__45__2__45__ACPs + C00005 + C00080		RXN1G__45__409	testGeneSymbol60	True	sbtabreact60
sbtabreact61	C06001 + C00003 <=> C00080 + C00004 + C06002		_3__45__HYDROXYISOBUTYRATE__45__DEHYDROGENASE__45__RXN	testGeneSymbol61	False	sbtabreact61
sbtabreact62	OH__45__ACYL__45__ACP + C00006 <=> B__45__KETOACYL__45__ACP + C00005 + C00080		_3__45__OXOACYL__45__ACP__45__REDUCT__45__RXN	testGeneSymbol62	True	sbtabreact62
sbtabreact63	CPD__45__5168 + C01246 <=> CPD__45__5169 + C00110 + C00080		RXN__45__5470	testGeneSymbol63	False	sbtabreact63
sbtabreact64	CPD__45__5167 + C03862 <=> CPD__45__5168 + C00110 + C00080		RXN__45__5469	testGeneSymbol64	False	sbtabreact64
sbtabreact65	cis__45__cis__45__D17__45__29__45__3__45__hydroxyC48__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D17__45__29__45__3__45__oxo__45__C48__45__2__45__ACPs + C00005 + C00080		RXN1G__45__717	testGeneSymbol65	True	sbtabreact65
sbtabreact66	CPD__45__5166 + C03862 <=> CPD__45__5167 + C00110 + C00080		RXN__45__5468	testGeneSymbol66	False	sbtabreact66
sbtabreact67	C00267 + C00002 <=> C00080 + C00668 + C00008		RXN__45__1685	testGeneSymbol67	False	sbtabreact67
sbtabreact68	CPD__45__5165 + C03862 <=> CPD__45__5166 + C00110 + C00080		RXN__45__5467	testGeneSymbol68	False	sbtabreact68
sbtabreact69	CPD__45__5164 + C03862 <=> CPD__45__5165 + C00110 + C00080		RXN__45__5466	testGeneSymbol69	False	sbtabreact69
sbtabreact70	CPD__45__5162 + C00096 <=> CPD__45__5164 + C00035 + C00080		RXN__45__5464	testGeneSymbol70	False	sbtabreact70
sbtabreact71	b__45__Hydroxy__45__cis__45__D5__45__dodecenoyl__45__ACPs + C00006 <=> b__45__Keto__45__cis__45__D5__45__dodecenoyl__45__ACPs + C00005 + C00080		RXN0__45__2142	testGeneSymbol71	True	sbtabreact71
sbtabreact72	C00221 + C00002 <=> C01172 + C00008 + C00080		GLUCOKIN__45__RXN	testGeneSymbol72	False	sbtabreact72
sbtabreact73	C04537 + C00096 <=> C05860 + C00080 + C00035		_2__46__4__46__1__46__142__45__RXN	testGeneSymbol73	False	sbtabreact73
sbtabreact74	C00031 + C00002 <=> C00092 + C00008 + C00080		RXN66__45__521	testGeneSymbol74	False	sbtabreact74
sbtabreact75	C04500 + C00043 <=> C04537 + C00080 + C00015		_2__46__4__46__1__46__141__45__RXN	testGeneSymbol75	False	sbtabreact75
sbtabreact76	cis__45__cis__45__D13__45__25__45__3__45__hydroxyC44__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D13__45__25__45__3__45__oxo__45__C44__45__2__45__ACPs + C00005 + C00080		RXN1G__45__203	testGeneSymbol76	True	sbtabreact76
sbtabreact77	C21067 + C00003 <=> C00080 + C00004 + C00652		D__45__ARABINOSE__45__1__45__DEHYDROGENASE__45__RXN	testGeneSymbol77	False	sbtabreact77
sbtabreact78	cis__45__cis__45__D7__45__19__45__3__45__hydroxyC38__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D7__45__19__45__3__45__oxo__45__C38__45__2__45__ACPs + C00005 + C00080		RXN1G__45__262	testGeneSymbol78	True	sbtabreact78
sbtabreact79	C02143 + C00003 <=> C16581 + C00004 + C00080		D__45__THREO__45__ALDOSE__45__1__45__DEHYDROGENASE__45__RXN	testGeneSymbol79	True	sbtabreact79
sbtabreact80	C00332 + C00005 + C00080 <=> C01144 + C00006		_3__45__HYDROXYBUTYRYL__45__COA__45__DEHYDROGENASE__45__RXN	testGeneSymbol80	False	sbtabreact80
sbtabreact81	cis__45__cis__45__D19__45__31__45__3__45__hydroxyC50__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D19__45__31__45__3__45__oxo__45__C50__45__2__45__ACPs + C00005 + C00080		RXN1G__45__951	testGeneSymbol81	True	sbtabreact81
sbtabreact82	cis__45__cis__45__D11__45__29__45__3__45__hydroxyC48__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D11__45__29__45__3__45__oxo__45__C48__45__2__45__ACPs + C00005 + C00080		RXN1G__45__853	testGeneSymbol82	True	sbtabreact82
sbtabreact83	C04593 <=> C00042 + C00022		METHYLISOCITRATE__45__LYASE__45__RXN	testGeneSymbol83	False	sbtabreact83
sbtabreact84	CPD__45__13694 + C00003 <=> CPD__45__13695 + C00004 + C00080		RXN__45__12705	testGeneSymbol84	True	sbtabreact84
sbtabreact85	cis__45__cis__45__D21__45__39__45__3__45__hydroxyC58__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D21__45__39__45__3__45__oxo__45__C58__45__2__45__ACPs + C00005 + C00080		RXN1G__45__617	testGeneSymbol85	True	sbtabreact85
sbtabreact86	cis__45__cis__45__D5__45__23__45__3__45__hydroxyC42__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D5__45__23__45__3__45__oxo__45__C42__45__2__45__ACPs + C00005 + C00080		RXN1G__45__182	testGeneSymbol86	True	sbtabreact86
sbtabreact87	cis__45__cis__45__D15__45__33__45__3__45__hydroxyC52__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D15__45__33__45__3__45__oxo__45__C52__45__2__45__ACPs + C00005 + C00080		RXN1G__45__1247	testGeneSymbol87	True	sbtabreact87
sbtabreact88	C06473 + C00005 + C00080 <=> C00257 + C00006		_1__46__1__46__1__46__215__45__RXN	testGeneSymbol88	False	sbtabreact88
sbtabreact89	CPD__45__11519 + C00003 <=> CPD__45__11520 + C00004 + C00080		RXN__45__10698	testGeneSymbol89	True	sbtabreact89
sbtabreact90	C02291 <=> C00080 + CPD__45__15056 + C00097		RXN__45__14048	testGeneSymbol90	False	sbtabreact90
sbtabreact91	C00256 + C00006 <=> C00022 + C00005 + C00080		D__45__2__45__HYDROXY__45__ACID__45__DEHYDROGENASE__45__RXN	testGeneSymbol91	True	sbtabreact91
sbtabreact92	cis__45__cis__45__D7__45__25__45__3__45__hydroxyC44__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D7__45__25__45__3__45__oxo__45__C44__45__2__45__ACPs + C00005 + C00080		RXN1G__45__384	testGeneSymbol92	True	sbtabreact92
sbtabreact93	CPD__45__11523 + C00003 <=> CPD__45__11524 + C00004 + C00080		RXN__45__10702	testGeneSymbol93	True	sbtabreact93
sbtabreact94	C06741 + C00001 <=> C01494 + C00420 + C00080		_3__46__1__46__1__46__73__45__RXN	testGeneSymbol94	False	sbtabreact94
sbtabreact95	_3__45__Hydroxyglutaryl__45__ACP__45__methyl__45__ester + C00006 <=> _3__45__Ketoglutaryl__45__ACP__45__methyl__45__ester + C00005 + C00080		RXN__45__11476	testGeneSymbol95	True	sbtabreact95
sbtabreact96	C00234 + L__45__methionyl__45__tRNAfmet <=> C00101 + N__45__formyl__45__L__45__methionyl__45__tRNAfmet		METHIONYL__45__TRNA__45__FORMYLTRANSFERASE__45__RXN	testGeneSymbol96	True	sbtabreact96
sbtabreact97	CPD__45__12199 + C00003 <=> CPD__45__10600 + C00004 + C00080		RXN__45__11245	testGeneSymbol97	True	sbtabreact97
sbtabreact98	R__45__3__45__hydroxypetroselinoyl__45__ACPs + C00006 <=> _3__45__oxo__45__eetroselinoyl__45__ACPs + C00005 + C00080		RXN__45__9552	testGeneSymbol98	True	sbtabreact98
sbtabreact99	CPD__45__13757 + C00003 <=> CPD__45__13758 + C00004 + C00080		RXN__45__12750	testGeneSymbol99	True	sbtabreact99
sbtabreact100	cis__45__cis__45__D11__45__23__45__3__45__hydroxyC42__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D11__45__23__45__3__45__oxo__45__C42__45__2__45__ACPs + C00005 + C00080		RXN1G__45__637	testGeneSymbol100	True	sbtabreact100
sbtabreact101	_3__45__hydroxypimeloyl__45__ACP__45__methyl__45__esters + C00006 <=> _3__45__Ketopimeloyl__45__ACP__45__methyl__45__esters + C00005 + C00080		RXN__45__11480	testGeneSymbol101	True	sbtabreact101
sbtabreact102	C14145 + C00003 <=> C00080 + C02232 + C00004		RXN0__45__2044	testGeneSymbol102	False	sbtabreact102
sbtabreact103	cis__45__cis__45__D17__45__35__45__3__45__hydroxyC54__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D17__45__35__45__3__45__oxo__45__C54__45__2__45__ACPs + C00005 + C00080		RXN1G__45__184	testGeneSymbol103	True	sbtabreact103
sbtabreact104	C00080 + C00025 <=> C00011 + C00334		GLUTDECARBOX__45__RXN	testGeneSymbol104	False	sbtabreact104
sbtabreact105	C05264 + C00003 <=> C05265 + C00004 + C00080		RXN__45__12490	testGeneSymbol105	True	sbtabreact105
sbtabreact106	POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C8__45__H16 + C00003 <=> C05263 + C00004 + C00080		OHACYL__45__COA__45__DEHYDROG__45__RXN__45__POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C8__45__H16__47__NAD__47____47__CPD0__45__2105__47__NADH__47__PROTON__46__67__46__	testGeneSymbol106	False	sbtabreact106
sbtabreact107	POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C10__45__WATER + C00003 <=> C05261 + C00004 + C00080		OHACYL__45__COA__45__DEHYDROG__45__RXN__45__POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C10__45__H20__47__NAD__47____47__CPD__45__10284__47__NADH__47__PROTON__46__68__46__	testGeneSymbol107	False	sbtabreact107
sbtabreact108	POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C14__45__H28 + C00003 <=> POLYMER__45__INST__45__3__45__KETOACYL__45__COA__45__C14__45__H28 + C00004 + C00080		OHACYL__45__COA__45__DEHYDROG__45__RXN__45__POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C14__45__H28__47__NAD__47____47__POLYMER__45__INST__45__3__45__KETOACYL__45__COA__45__C14__45__H28__47__NADH__47__PROTON__46__94__46__	testGeneSymbol108	False	sbtabreact108
sbtabreact109	POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C16__45__H32 + C00003 <=> CPD__45__14271 + C00004 + C00080		OHACYL__45__COA__45__DEHYDROG__45__RXN__45__POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C16__45__H32__47__NAD__47____47__CPD__45__14271__47__NADH__47__PROTON__46__68__46__	testGeneSymbol109	False	sbtabreact109
sbtabreact110	cis__45__cis__45__D5__45__17__45__3__45__hydroxyC36__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D5__45__17__45__3__45__oxo__45__C36__45__2__45__ACPs + C00005 + C00080		RXN1G__45__408	testGeneSymbol110	True	sbtabreact110
sbtabreact111	CPD__45__11527 + C00003 <=> CPD__45__11528 + C00004 + C00080		RXN__45__10703	testGeneSymbol111	True	sbtabreact111
sbtabreact112	cis__45__cis__45__D9__45__21__45__3__45__hydroxyC40__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D9__45__21__45__3__45__oxo__45__C40__45__2__45__ACPs + C00005 + C00080		RXN1G__45__252	testGeneSymbol112	True	sbtabreact112
sbtabreact113	C05266 + C00003 <=> C05267 + C00004 + C00080		RXN__45__14275	testGeneSymbol113	False	sbtabreact113
sbtabreact114	C05268 + C00003 <=> C05269 + C00004 + C00080		RXN__45__12570	testGeneSymbol114	True	sbtabreact114
sbtabreact115	cis__45__cis__45__D13__45__31__45__3__45__hydroxyC50__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D13__45__31__45__3__45__oxo__45__C50__45__2__45__ACPs + C00005 + C00080		RXN1G__45__1050	testGeneSymbol115	True	sbtabreact115
sbtabreact116	C00469 + C00006 <=> C00084 + C00005 + C00080		RXN__45__12484	testGeneSymbol116	False	sbtabreact116
sbtabreact117	Sulfurated__45__Sulfur__45__Acceptors + C01326 <=> Unsulfurated__45__Sulfur__45__Acceptors + C01755 + C00080		RXN0__45__6359	testGeneSymbol117	False	sbtabreact117
sbtabreact118	C03561 + C00006 <=> C00332 + C00005 + C00080		RXN__45__5901	testGeneSymbol118	True	sbtabreact118
sbtabreact119	C01144 + C00003 <=> C00332 + C00004 + C00080		RXN__45__11662	testGeneSymbol119	True	sbtabreact119
sbtabreact120	CPD__45__14422 + C00005 + C00080 <=> CPD__45__14419 + C00006		RXN__45__12994__45__CPD__45__14422__47__NADPH__47__PROTON__47____47__CPD__45__14419__47__NADP__46__39__46__	testGeneSymbol120	False	sbtabreact120
sbtabreact121	CPD__45__14422 + C00004 + C00080 <=> CPD__45__14419 + C00003		RXN__45__12994__45__CPD__45__14422__47__NADH__47__PROTON__47____47__CPD__45__14419__47__NAD__46__37__46__	testGeneSymbol121	False	sbtabreact121
sbtabreact122	C02291 + C00001 <=> C00109 + C00097 + C01342		RXN__45__15130	testGeneSymbol122	False	sbtabreact122
sbtabreact123	CPD__45__14423 + C00005 + C00080 <=> CPD__45__14424 + C00006		RXN__45__13443__45__CPD__45__14423__47__NADPH__47__PROTON__47____47__CPD__45__14424__47__NADP__46__39__46__	testGeneSymbol123	False	sbtabreact123
sbtabreact124	CPD__45__14423 + C00004 + C00080 <=> CPD__45__14424 + C00003		RXN__45__13443__45__CPD__45__14423__47__NADH__47__PROTON__47____47__CPD__45__14424__47__NAD__46__37__46__	testGeneSymbol124	False	sbtabreact124
sbtabreact125	CPD__45__15663 + C00001 <=> CPD__45__15658		RXN__45__14794	testGeneSymbol125	False	sbtabreact125
sbtabreact126	CPD__45__15662 + C00003 <=> CPD__45__15678 + C00004 + C00080		RXN__45__14792	testGeneSymbol126	False	sbtabreact126
sbtabreact127	CPD__45__15661 + C00001 <=> CPD__45__15662		RXN__45__14791	testGeneSymbol127	False	sbtabreact127
sbtabreact128	C00006 + C00116 <=> C00080 + C00184 + C00005		GLYCEROL__45__2__45__DEHYDROGENASE__45__NADP__43____45__RXN	testGeneSymbol128	False	sbtabreact128
sbtabreact129	C00132 + C00003 <=> C00080 + C00067 + C00004		METHANOL__45__DEHYDROGENASE__45__RXN	testGeneSymbol129	False	sbtabreact129
sbtabreact130	C00001 + C00002 <=> C00080 + C00009 + C00008		_3__46__6__46__4__46__5__45__RXN	testGeneSymbol130	False	sbtabreact130
sbtabreact131	C00116 + C00006 <=> C00577 + C00005 + C00080		GLYCEROL__45__DEHYDROGENASE__45__NADP__43____45__RXN	testGeneSymbol131	False	sbtabreact131
sbtabreact132	C00136 + C00006 <=> C00877 + C00005 + C00080		TRANSENOYLCOARED__45__RXN__45__BUTYRYL__45__COA__47__NADP__47____47__CROTONYL__45__COA__47__NADPH__47__PROTON__46__44__46__	testGeneSymbol132	False	sbtabreact132
sbtabreact133	C01832 + C00006 <=> C03221 + C00005 + C00080		TRANSENOYLCOARED__45__RXN__45__LAUROYLCOA__45__CPD__47__NADP__47____47__CPD__45__7222__47__NADPH__47__PROTON__46__43__46__	testGeneSymbol133	False	sbtabreact133
sbtabreact134	C01944 + C00006 <=> C05276 + C00005 + C00080		TRANSENOYLCOARED__45__RXN__45__CPD__45__196__47__NADP__47____47__CPD0__45__2108__47__NADPH__47__PROTON__46__37__46__	testGeneSymbol134	False	sbtabreact134
sbtabreact135	C05274 + C00006 <=> C05275 + C00005 + C00080		TRANSENOYLCOARED__45__RXN__45__CPD__45__10267__47__NADP__47____47__T2__45__DECENOYL__45__COA__47__NADPH__47__PROTON__46__45__46__	testGeneSymbol135	False	sbtabreact135
sbtabreact136	C05270 + C00006 <=> C05271 + C00005 + C00080		TRANSENOYLCOARED__45__RXN__45__HEXANOYL__45__COA__47__NADP__47____47__CPD0__45__2121__47__NADPH__47__PROTON__46__42__46__	testGeneSymbol136	False	sbtabreact136
sbtabreact137	C00019 + C01092 <=> C04425 + C01037		DAPASYN__45__RXN	testGeneSymbol137	True	sbtabreact137
sbtabreact138	C00011 + C01037 + C00002 <=> C00080 + C01909 + C00009 + C00008		DETHIOBIOTIN__45__SYN__45__RXN	testGeneSymbol138	False	sbtabreact138
sbtabreact139	C05440 + C00005 + C00080 <=> C01694 + C00006		_1__46__3__46__1__46__71__45__RXN	testGeneSymbol139	False	sbtabreact139
sbtabreact140	C00962 + C00007 <=> C03269 + C00027		GALACTOSE__45__OXIDASE__45__RXN	testGeneSymbol140	False	sbtabreact140
sbtabreact141	C00141 + BCAA__45__dehydrogenase__45__lipoyl + C00080 <=> BCAA__45__dehydrogenase__45__2MP__45__DH__45__lipoyl + C00011		_1__46__2__46__4__46__4__45__RXN	testGeneSymbol141	False	sbtabreact141
sbtabreact142	C00109 + C00010 + C00003 <=> C00100 + C00011 + C00004		RXN__45__7790	testGeneSymbol142	True	sbtabreact142
