!!SBtab SBtabVersion=’1.0’	TableName=’K. brasiliensis SBTab Compound Table’	TableType=’Compound’
!ID	!Name	!Identifiers:kegg.compound	!Identifiers:bigg.metabolite	!Identifiers:biocyc	!StructureFormula
sbtabcomp46	2-Octaprenyl-6-methoxyphenol	C05812	2omph		C47H72O2
sbtabcomp47	2-Oxoadipate	C00322	2oxoadp		C6H8O5
sbtabcomp48	2-Phospho-D-glycerate	C00631	2pg		C3H7O7P
sbtabcomp49	Phenylethyl alcohol	C05853	2phetoh		C8H10O
sbtabcomp50	3,4-Dihydroxybenzoate	C00230	34dhbz		C7H6O4
sbtabcomp51	Caffeate	C01197	34dhcinm		C9H8O4
sbtabcomp52	3,4-Dihydroxymandelaldehyde	C05577	34dhmald		C8H8O4
sbtabcomp53	3,4-Dihydroxymandelate	C05580	34dhoxmand		C8H8O5
sbtabcomp54	3,4-Dihydroxyphenylethyleneglycol	C05576	34dhoxpeg		C8H10O4
sbtabcomp55	3,4-Dihydroxyphenylacetaldehyde	C04043	34dhpac		C8H8O3
sbtabcomp56	3,4-Dihydroxyphenylacetate	C01161	34dhpha		C8H8O4
sbtabcomp57	3,4-Dihydroxy-L-phenylalanine	C00355	34dhphe		C9H11NO4
sbtabcomp58	3',5'-Cyclic GMP	C00942	35cgmp		C10H12N5O7P
sbtabcomp59	(R)-3-Amino-2-methylpropanoate	C01205	3aib__D		C4H9NO2
sbtabcomp60	(2R,3S)-3-Isopropylmalate	C04411	3c2hmp		C7H12O5
sbtabcomp61	alpha-Isopropylmalate	C02504	3c3hmp		C7H12O5
sbtabcomp62	(2S)-2-Isopropyl-3-oxosuccinate	C04236	3c4mop		C7H10O5
sbtabcomp63	3-Dehydro-2-deoxy-D-gluconate	C03926	3ddgc		C6H10O6
sbtabcomp64	3-Dehydroquinate	C00944	3dhq		C7H10O6
sbtabcomp65	3-Dehydroshikimate	C02637	3dhsk		C7H8O5
sbtabcomp66	3-Dehydrosphinganine	C02934	3dsphgn		C18H37NO2
sbtabcomp67	(3R)-3-Hydroxyacyl-[acyl-carrier protein]	C01271	3haACP		C3H4O2SR2
sbtabcomp68	(3S)-3-Hydroxyacyl-CoA	C00640	3hacoa		C24H39N7O18P3SR
sbtabcomp69	(3S)-3-Hydroxyadipyl-CoA	C14145	3hadpcoa		C27H44N7O20P3S
sbtabcomp70	3-Hydroxyanthranilate	C00632	3hanthrn		C7H7NO3
sbtabcomp71	(S)-3-Hydroxybutanoyl-CoA	C01144	3hbcoa		C25H42N7O18P3S
sbtabcomp72	(R)-3-Hydroxybutanoyl-CoA	C03561	3hbcoa__R		C25H42N7O18P3S
sbtabcomp73	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]	C04618	3hbutACP		C4H7O2SR
sbtabcomp74	(S)-Hydroxydecanoyl-CoA	C05264	3hdcoa		C31H54N7O18P3S
sbtabcomp75	(R)-3-Hydroxydodecanoyl-[acp]	C05757	3hddecACP		C12H23O2SR
sbtabcomp76	(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]	C04619	3hdecACP		C10H19O2SR
sbtabcomp77	(S)-Hydroxyhexanoyl-CoA	C05268	3hhcoa		C27H46N7O18P3S
sbtabcomp78	(S)-3-Hydroxyhexadecanoyl-CoA	C05258	3hhdcoa		C37H66N7O18P3S
sbtabcomp79	(R)-3-Hydroxyhexanoyl-[acp]	C05747	3hhexACP		C6H11O2SR
sbtabcomp80	(S)-3-Hydroxyisobutyrate	C06001	3hib		C4H8O3
sbtabcomp81	(S)-3-Hydroxyisobutyryl-CoA	C06000	3hibutcoa		C25H42N7O18P3S
sbtabcomp82	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA	C04405	3hmbcoa		C26H44N7O18P3S
sbtabcomp83	3-Hydroxy-3-methyl-2-oxobutanoic acid	C04181	3hmoa		C5H8O4
sbtabcomp84	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	C14463	3hmop		C6H10O4
sbtabcomp85	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	C04688	3hmrsACP		C14H27O2SR
sbtabcomp86	(S)-3-Hydroxyoctanoyl-CoA	C05266	3hocoa		C29H50N7O18P3S
sbtabcomp87	(R)-3-Hydroxyoctadecanoyl-[acp]	C16220	3hoctaACP		C18H35O2SR
sbtabcomp88	(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	C04620	3hoctACP		C8H15O2SR
sbtabcomp89	3-Hydroxyoctadecanoyl-CoA	C16217	3hodcoa		C39H70N7O18P3S
sbtabcomp90	(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]	C04633	3hpalmACP		C16H31O2SR
sbtabcomp91	3-Hydroxy-N6,N6,N6-trimethyl-L-lysine	C01259	3htmelys		C9H21N2O3
sbtabcomp92	Indoleglycerol phosphate	C03506	3ig3p		C11H14NO6P
sbtabcomp93	3-Methoxy-4-hydroxyphenylglycolaldehyde	C05583	3m4hpga		C9H10O4
sbtabcomp94	3-Methylcrotonyl-CoA	C03069	3mb2coa		C26H42N7O17P3S
sbtabcomp95	3-Methylbutanal	C07329	3mbald		C5H10O
sbtabcomp96	3-Methylglutaconyl-CoA	C03231	3mgcoa		C27H42N7O19P3S
sbtabcomp97	3-Methyl-2-oxobutanoic acid	C00141	3mob		C5H8O3
sbtabcomp98	(S)-3-Methyl-2-oxopentanoic acid	C00671	3mop		C6H10O3
sbtabcomp99	3-Methoxy-4-hydroxymandelate	C05584	3mox4hoxm		C9H10O5
sbtabcomp100	3-Oxodecanoyl-CoA	C05265	3odcoa		C31H52N7O18P3S
sbtabcomp101	3-Oxododecanoyl-CoA	C05263	3oddcoa		C33H56N7O18P3S
sbtabcomp102	3-Oxododecanoyl-[acp]	C05756	3oddecACP		C12H21O2SR
sbtabcomp103	3-Oxodecanoyl-[acp]	C05753	3odecACP		C10H17O2SR
sbtabcomp104	3-Oxohexanoyl-CoA	C05269	3ohcoa		C27H44N7O18P3S
sbtabcomp105	3-Oxopalmitoyl-CoA	C05259	3ohdcoa		C37H64N7O18P3S
sbtabcomp106	3-Oxohexanoyl-[acp]	C05746	3ohexACP		C6H9O2SR
sbtabcomp107	3-Oxostearoyl-CoA	C16216	3ohodcoa		C39H68N7O18P3S
sbtabcomp108	3-Oxotetradecanoyl-[acp]	C05759	3omrsACP		C14H25O2SR
sbtabcomp109	3-Oxooctanoyl-CoA	C05267	3oocoa		C29H48N7O18P3S
sbtabcomp110	3-Oxooctanoyl-[acp]	C05750	3ooctACP		C8H13O2SR
sbtabcomp111	3-Oxohexadecanoyl-[acp]	C05762	3opalmACP		C16H29O2SR
sbtabcomp112	3-Octaprenyl-4-hydroxybenzoate	C05809	3ophb		C47H70O3
sbtabcomp113	3-Hexaprenyl-4-hydroxybenzoate	C13425	3ophb_5		C37H54O3
sbtabcomp114	3-Oxotetradecanoyl-CoA	C05261	3otdcoa		C35H60N7O18P3S
sbtabcomp115	3-Oxoadipate	C00846	3oxoadp		C6H8O5
sbtabcomp116	3-Phospho-D-glycerate	C00197	3pg		C3H7O7P
sbtabcomp117	3-Phosphonooxypyruvate	C03232	3php		C3H5O7P
sbtabcomp118	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C01269	3psme		C10H13O10P
sbtabcomp119	3-Sulfino-L-alanine	C00606	3sala		C3H7NO4S
sbtabcomp120	3-Sulfopyruvate	C05528	3spyr		C3H4O6S
sbtabcomp121	3-Ureidoisobutyrate	C05100	3uib		C5H10N2O3
sbtabcomp122	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate	C05645	42A3HP24DB		C10H9NO5
sbtabcomp123	4-Acetamidobutanoate	C02946	4aabutn		C6H11NO3
sbtabcomp124	4-Aminobutanoate	C00334	4abut		C4H9NO2
sbtabcomp125	4-Aminobutyraldehyde	C00555	4abutn		C4H9NO
sbtabcomp126	4-Aminobenzoate	C00568	4abz		C7H7NO2
sbtabcomp127	4-Amino-4-deoxychorismate	C11355	4adcho		C10H11NO5
sbtabcomp128	4-Amino-5-hydroxymethyl-2-methylpyrimidine	C01279	4ahmmp		C6H9N3O
sbtabcomp129	4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine	C04556	4ampm		C6H10N3O4P
sbtabcomp130	4-(2-Aminophenyl)-2,4-dioxobutanoate	C01252	4aphdob		C10H9NO4
sbtabcomp131	4-Guanidinobutanamide	C03078	4gudbd		C5H12N4O
sbtabcomp132	4-Guanidinobutanoate	C01035	4gudbutn		C5H11N3O2
sbtabcomp133	4-Hydroxybenzaldehyde	C00633	4hbald		C7H6O2
sbtabcomp134	4-Hydroxybenzoate	C00156	4hbz		C7H6O3
sbtabcomp135	4-Hydroxybenzoyl-CoA	C02949	4hbzcoa		C28H40N7O18P3S
sbtabcomp136	4-Hydroxyphenylacetaldehyde	C03765	4hoxpacd		C8H8O2
sbtabcomp137	Hydroxyproline	C01157	4hpro_LT		C5H9NO3
sbtabcomp138	4-Methylcatechol	C06730	4mcat		C7H8O2
sbtabcomp139	5-(2-Hydroxyethyl)-4-methylthiazole	C04294	4mhetz		C6H9NOS
sbtabcomp140	4-Methyl-2-oxopentanoate	C00233	4mop		C6H10O3
sbtabcomp141	4-Methyl-5-(2-phosphooxyethyl)thiazole	C04327	4mpetz		C6H10NO4PS
sbtabcomp142	4alpha-Methylzymosterol	C05103	4mzym		C28H46O
sbtabcomp143	3-Keto-4-methylzymosterol	C15816	4mzym_int2		C28H44O
sbtabcomp144	4-Nitrophenol	C00870	4nph		C6H5NO3
sbtabcomp145	4-Phospho-L-aspartate	C03082	4pasp		C4H8NO7P
sbtabcomp146	D-4'-Phosphopantothenate	C03492	4ppan		C9H18NO8P
sbtabcomp147	(R)-4'-Phosphopantothenoyl-L-cysteine	C04352	4ppcys		C12H23N2O9PS
sbtabcomp148	5-Amino-6-(1-D-ribitylamino)uracil	C04732	4r5au		C9H16N4O6
sbtabcomp149	Dihydrotestosterone	C03917	5adtststerone		C19H30O2
sbtabcomp150	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	C04751	5aizc		C9H14N3O9P
sbtabcomp151	5-Aminolevulinate	C00430	5aop		C5H9NO3
sbtabcomp152	5-Dehydro-D-gluconate	C01062	5dglcn		C6H10O7
sbtabcomp153	(R)-5-Diphosphomevalonate	C01143	5dpmev		C6H14O10P2
sbtabcomp154	Folinic acid	C03479	5fthf		C20H23N7O7
sbtabcomp155	5-Hydroxyisourate	C11821	5hiu		C5H4N4O4
sbtabcomp156	5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate	C12248	5houdic		C5H6N4O5
sbtabcomp157	5-Hydroxyindoleacetaldehyde	C05634	5hoxindact		C10H9NO2
sbtabcomp158	5-Hydroxyindoleacetate	C05635	5hoxindoa		C10H9NO3
sbtabcomp159	5-Hydroxy-L-tryptophan	C00643	5htrp		C11H12N2O3
sbtabcomp160	S-Methyl-5-thio-D-ribose 1-phosphate	C04188	5mdr1p		C6H13O7PS
sbtabcomp161	5'-Methylthioadenosine	C00170	5mta		C11H15N5O3S
sbtabcomp162	5-Methyltetrahydrofolate	C00440	5mthf		C20H25N7O6
sbtabcomp163	2-Oxo-2,3-dihydrofuran-5-acetate	C03586	5odhf2a		C6H6O4
sbtabcomp164	Pidolic acid	C01879	5oxpro		C5H7NO3
sbtabcomp165	(R)-5-Phosphomevalonate	C01107	5pmev		C6H13O7P
sbtabcomp166	6-Amino-2-oxohexanoate	C03239	6a2ohxnt		C6H11NO3
sbtabcomp167	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	C01300	6hmhpt		C7H9N5O2
sbtabcomp168	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	C04807	6hmhptpp		C7H11N5O8P2
sbtabcomp169	6-Phospho-D-gluconate	C00345	6pgc		C6H13O10P
sbtabcomp170	D-Glucono-1,5-lactone 6-phosphate	C01236	6pgl		C6H11O9P
sbtabcomp171	8-Amino-7-oxononanoate	C01092	8aonn		C9H17NO3
sbtabcomp172	Acrylamide	C01659	aa		C3H5NO
sbtabcomp173	Aminoacetaldehyde	C06735	aacald		C2H5NO
sbtabcomp174	Acetoacetyl-CoA	C00332	aacoa		C25H40N7O18P3S
sbtabcomp175	Aminoacetone	C01888	aact		C3H7NO
sbtabcomp176	L-Arabitol	C00532	abt		C5H12O5
sbtabcomp177	D-Arabitol	C01904	abt__D		C5H12O5
sbtabcomp178	Acetate	C00033	ac		C2H4O2
sbtabcomp179	Acetoacetate	C00164	acac		C4H6O3
sbtabcomp180	Acetyl-[acyl-carrier protein]	C03939	acACP		C2H3OSR
sbtabcomp181	Acetaldehyde	C00084	acald		C2H4O
sbtabcomp182	Acetyl-CoA	C00024	accoa		C23H38N7O17P3S
sbtabcomp183	N-Acetyl-L-glutamate 5-phosphate	C04133	acg5p		C7H12NO8P
sbtabcomp184	N-Acetyl-L-glutamate 5-semialdehyde	C01250	acg5sa		C7H11NO4
sbtabcomp185	N-Acetyl-D-glucosamine	C00140	acgam		C8H15NO6
sbtabcomp186	N-Acetyl-D-glucosamine 1-phosphate	C04256	acDgam1p		C8H16NO9P
sbtabcomp187	N-Acetyl-alpha-D-glucosamine 1-phosphate	C04501	acgam1p		C8H16NO9P
sbtabcomp188	N-Acetyl-D-glucosamine 6-phosphate	C00357	acgam6p		C8H16NO9P
sbtabcomp189	N-Acetyl-L-glutamate	C00624	acglu		C7H11NO5
sbtabcomp190	O-Acetyl-L-homoserine	C01077	achms		C6H11NO4
sbtabcomp191	Acyl-CoA	C00040	acoa		C22H35N7O17P3SR
sbtabcomp192	cis-Aconitate	C00417	acon_C		C6H6O6
sbtabcomp193	trans-Aconitate	C02341	acon_T		C6H6O6
sbtabcomp194	N-Acetylornithine	C00437	acorn		C7H14N2O3
sbtabcomp195	Thiol-containing reductant	C16736	tcred		HSR
sbtabcomp196	Acyl-carrier protein	C00229	ACP		HSR
sbtabcomp197	Thiol	C00145	thiol		HSR
sbtabcomp198	Holo-Lys2	C11482	hlys2		HSR
sbtabcomp199	O-Acetylcarnitine	C02571	acrn		C9H18NO4
sbtabcomp200	Acrylic acid	C00511	acryl		C3H4O2
sbtabcomp201	O-Acetyl-L-serine	C00979	acser		C5H9NO4
sbtabcomp202	Acetoacetyl-[acp]	C05744	actACP		C4H5O2SR
sbtabcomp203	(R)-Acetoin	C00810	actn__R		C4H8O2
sbtabcomp204	Acetyl phosphate	C00227	actp		C2H5O5P
sbtabcomp205	Acetamide	C06244	ad		C2H5NO
sbtabcomp206	Adenine	C00147	ade		C5H5N5
sbtabcomp207	Adenosine	C00212	adn		C10H13N5O4
sbtabcomp208	ADP	C00008	adp		C10H15N5O10P2
sbtabcomp209	Agmatine	C00179	agm		C5H14N4
sbtabcomp210	S-Adenosyl-L-homocysteine	C00021	ahcys		C14H20N6O5S
sbtabcomp211	7,8-Dihydroneopterin 3'-triphosphate	C04895	ahdt		C9H16N5O13P3
sbtabcomp212	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	C04677	aicar		C9H15N4O8P
sbtabcomp213	Aminoimidazole ribotide	C03373	air		C8H14N3O7P
sbtabcomp214	2-Oxoglutarate	C00026	akg		C5H6O5
sbtabcomp215	L-Alanine	C00041	ala__L		C3H7NO2
sbtabcomp216	beta-Alanine	C00099	ala_B		C3H7NO2
sbtabcomp217	(S)-2-Acetolactate	C06010	alac__S		C5H8O4
sbtabcomp218	L-Alanyl-tRNA	C00886	alatrna		C13H22NO11PR2(C5H8O6PR)n
sbtabcomp219	Allantoate	C00499	alltt		C4H8N4O4
sbtabcomp220	S-Aminomethyldihydrolipoylprotein	C01242	alpro		C9H19N2OS2R
sbtabcomp221	2-Aminomuconate semialdehyde	C03824	am6sa		C6H7NO3
sbtabcomp222	S-Adenosyl-L-methionine	C00019	amet		C15H22N6O5S
sbtabcomp223	S-Adenosylmethioninamine	C01137	ametam		C14H23N6O3S
sbtabcomp224	S-Adenosyl-4-methylthio-2-oxobutanoate	C04425	amob		C15H20N5O6S
sbtabcomp225	AMP	C00020	amp		C10H14N5O7P
sbtabcomp226	5alpha-Androstane-3,17-dione	C00674	andrstandn		C19H28O2
sbtabcomp227	Androstenedione	C00280	andrstndn		C19H26O2
sbtabcomp228	Anthranilate	C00108	anth		C7H7NO2
sbtabcomp229	Nalpha-Acetylpeptide	C03011	apep		C4H6NO3R(C2H2NOR)n
sbtabcomp230	Apo-[acyl-carrier-protein]	C03688	apoACP		
sbtabcomp231	Apocytochrome c	C02248	apocytc		(C4H6N2O2SR2)2
sbtabcomp232	P1,P3-Bis(5'-adenosyl) triphosphate	C06197	apppa		C20H27N10O16P3
sbtabcomp233	N-Acetylputrescine	C02714	aprut		C6H14N2O
sbtabcomp234	Adenylyl sulfate	C00224	aps		C10H14N5O10PS
sbtabcomp235	L-Arabinose	C00259	arab__L		C5H10O5
sbtabcomp236	L-Arginine	C00062	arg__L		C6H14N4O2
sbtabcomp237	N-(L-Arginino)succinate	C03406	argsuc		C10H18N4O6
sbtabcomp238	L-Arginyl-tRNA(Arg)	C02163	argtrna		C21H33N9O11PR(C5H8O6PR)n
sbtabcomp239	L-Asparagine	C00152	asn__L		C4H8N2O3
sbtabcomp240	L-Asparaginyl-tRNA(Asn)	C03402	asntrna		C14H23N2O12PR2(C5H8O6PR)n
sbtabcomp241	D-Aspartate	C00402	asp__D		C4H7NO4
sbtabcomp242	L-Aspartate	C00049	asp__L		C4H7NO4
sbtabcomp243	L-Aspartate 4-semialdehyde	C00441	aspsa		C4H7NO3
sbtabcomp244	L-Aspartyl-tRNA(Asp)	C02984	asptrna		C14H22NO13PR2(C5H8O6PR)n
sbtabcomp245	ATP	C00002	atp		C10H16N5O13P3
sbtabcomp246	Crotonoyl-CoA	C00877	b2coa		C25H40N7O17P3S
sbtabcomp247	cis-beta-D-Glucosyl-2-hydroxycinnamate	C05839	bdg2hc		C15H18O8
sbtabcomp248	Betaine aldehyde	C00576	betald		C5H12NO
sbtabcomp249	Biliverdin	C00500	biliverd		C33H34N4O6
sbtabcomp250	Butanal	C01412	btal		C4H8O
sbtabcomp251	Biotinyl-5'-AMP	C05921	btamp		C20H28N7O9PS
sbtabcomp252	Butanoyl-CoA	C00136	btcoa		C25H42N7O17P3S
sbtabcomp253	Biotin	C00120	btn		C10H16N2O3S
sbtabcomp254	Holo-[carboxylase]	C06250	btnCCP		C17H27N5O4SR2
sbtabcomp255	Butanoic acid	C00246	but		C4H8O2
sbtabcomp256	But-2-enoyl-[acyl-carrier protein]	C04246	but2eACP		C4H5OSR
sbtabcomp257	Butyryl-[acp]	C05745	butACP		C4H7OSR
sbtabcomp258	Benzoate	C00180	bz		C7H6O2
sbtabcomp259	Benzaldehyde	C00261	bzal		C7H6O
sbtabcomp260	Benzyl alcohol	C00556	bzalc		C7H8O
sbtabcomp261	Calcium cation	C00076	ca2		Ca
sbtabcomp262	Caffeoyl-CoA	C00323	caffcoa		C30H42N7O19P3S
sbtabcomp263	3-Ureidopropionate	C02642	cala		C4H8N2O3
sbtabcomp264	3',5'-Cyclic AMP	C00575	camp		C10H12N5O6P
sbtabcomp265	Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine	C04441	caphis		C11H15N5O4R2
sbtabcomp266	beta-Carotene	C02094	caro		C40H56
sbtabcomp267	Catechol	C00090	catechol		C6H6O2
sbtabcomp268	Benzenediol	C01785	bzdiol		C6H6O2
sbtabcomp269	N-Carbamoyl-L-aspartate	C00438	cbasp		C5H8N2O5
sbtabcomp270	Carbamate	C01563	cbm		CH3NO2
sbtabcomp271	Carbamoyl phosphate	C00169	cbp		CH4NO5P
sbtabcomp272	Carboxybiotin-carboxyl-carrier protein	C04419	cbtnCCP		C18H26N5O6SR2
sbtabcomp273	cis,cis-Muconate	C02480	ccmuac		C6H6O4
sbtabcomp274	CDP	C00112	cdp		C9H15N3O11P2
sbtabcomp275	CDP-choline	C00307	cdpchol		C14H26N4O11P2
sbtabcomp276	beta-Cellobiose	C06422	bcellb		C12H22O11
sbtabcomp277	Cellobiose	C00185	cellb		C12H22O11
sbtabcomp278	Cys-Gly	C01419	cgly		C5H10N2O3S
sbtabcomp279	Chitosan	C00734	chitos		C12H24N2O9(C6H11NO4)n
sbtabcomp280	Choline	C00114	chol		C5H14NO
sbtabcomp281	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA	C05460	cholcoads		C48H78N7O20P3S
sbtabcomp282	Choline phosphate	C00588	cholp		C5H15NO4P
sbtabcomp283	Choline sulfate	C00919	chols		C5H13NO4S
sbtabcomp284	Chorismate	C00251	chor		C10H10O6
sbtabcomp285	Chitobiose	C01674	chtbs		C16H28N2O11
sbtabcomp286	Chitin	C00461	chtn		(C8H13NO5)n
sbtabcomp287	trans-Cinnamate	C00423	cinnm		C9H8O2
sbtabcomp288	Citrate	C00158	cit		C6H8O7
sbtabcomp289	L-Citrulline	C00327	citr__L		C6H13N3O3
sbtabcomp290	Cl-	C00698	cl		Cl
sbtabcomp291	Peptide 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine	C04692	cmaphis		C12H17N5O4R2
sbtabcomp292	CMP	C00055	cmp		C9H14N3O8P
sbtabcomp293	2-Amino-3-carboxymuconate semialdehyde	C04409	cmusa		C7H7NO5
sbtabcomp294	CO	C00237	co		CO
sbtabcomp295	CO2	C00011	co2		CO2
sbtabcomp296	CoA	C00010	coa		C21H36N7O16P3S
sbtabcomp297	Cortisone	C00762	cortsn		C21H28O5
sbtabcomp298	p-Coumaroyl-CoA	C00223	coucoa		C30H42N7O18P3S
sbtabcomp299	Precursor Z	C18239	cpmp		C10H14N5O8P
sbtabcomp300	Coproporphyrinogen I	C05768	cpppg1		C36H44N4O8
sbtabcomp301	Coproporphyrinogen III	C03263	cpppg3		C36H44N4O8
sbtabcomp302	L-Carnitine	C00318	crn		C7H15NO3
sbtabcomp303	Cytosine	C00380	csn		C4H5N3O
sbtabcomp304	CTP	C00063	ctp		C9H16N3O14P3
sbtabcomp305	Hydrogen cyanide	C01326	cyan		CHN
sbtabcomp306	Cycloartenol	C01902	cyart		C30H50O
sbtabcomp307	Cyanate	C01417	cynt		CHNO
sbtabcomp308	L-Cysteine	C00097	cys__L		C3H7NO2S
sbtabcomp309	L-Cystathionine	C02291	cyst__L		C7H14N2O4S
sbtabcomp310	L-Cysteinyl-tRNA(Cys)	C03125	cystrna		C18H26N6O11PSR(C5H8O6PR)n
sbtabcomp311	Cytochrome c	C00524	cytcc		C42H44FeN8O8S2R4
sbtabcomp312	Cytidine	C00475	cytd		C9H13N3O5
sbtabcomp313	Deoxyadenosine	C00559	dad_2		C10H13N5O3
sbtabcomp314	5'-Deoxyadenosine	C05198	dad_5		C10H13N5O3
sbtabcomp315	dADP	C00206	dadp		C10H15N5O9P2
sbtabcomp316	7,8-Diaminononanoate	C01037	dann		C9H20N2O2
sbtabcomp317	dATP	C00131	datp		C10H16N5O12P3
sbtabcomp318	L-3,4-Dihydroxybutan-2-one 4-phosphate	C15556	db4p		C4H9O6P
sbtabcomp319	trans-Dec-2-enoyl-CoA	C05275	dc2coa		C31H52N7O17P3S
sbtabcomp320	Decanoic acid	C01571	dca		C10H20O2
sbtabcomp321	Decanoyl-[acp]	C05755	dcaACP		C10H19OSR
