IdentifierInModel	OriginalBiGGIdentifier	MetaboliteName	CreatedOrFixedBiGGIdentifier	RandomIdentifierPerlBoolean
C01785	catechol	Benzenediol	bzdiol	FALSE
C00438	cbasp	blank_description	cbasp	FALSE
C01563	cbm	blank_description	cbm	FALSE
C00169	cbp	blank_description	cbp	FALSE
C04419	cbtnCCP	blank_description	cbtnCCP	FALSE
C00112	cdp	blank_description	cdp	FALSE
C00185	cellb	blank_description	cellb	FALSE
C01419	cgly	blank_description	cgly	FALSE
C00734	chitos	blank_description	chitos	FALSE
C00114	chol	blank_description	chol	FALSE
C00251	chor	blank_description	chor	FALSE
C01674	chtbs	blank_description	chtbs	FALSE
C00461	chtn	blank_description	chtn	FALSE
C00423	cinnm	blank_description	cinnm	FALSE
C00158	cit	blank_description	cit	FALSE
C00327	citr__L	blank_description	citr__L	FALSE
C04692	cmaphis	blank_description	cmaphis	FALSE
C00055	cmp	blank_description	cmp	FALSE
C04409	cmusa	blank_description	cmusa	FALSE
C00011	co2	blank_description	co2	FALSE
C00010	coa	blank_description	coa	FALSE
C18239	cpmp	blank_description	cpmp	FALSE
C03263	cpppg3	blank_description	cpppg3	FALSE
C00063	ctp	blank_description	ctp	FALSE
C01902	cyart	blank_description	cyart	FALSE
C01417	cynt	blank_description	cynt	FALSE
C00097	cys__L	blank_description	cys__L	FALSE
C03125	cystrna	blank_description	cystrna	FALSE
C00524	cytcc	blank_description	cytcc	FALSE
C00475	cytd	blank_description	cytd	FALSE
C05198	dad_5	blank_description	dad_5	FALSE
C00206	dadp	blank_description	dadp	FALSE
C00131	datp	blank_description	datp	FALSE
C15556	db4p	blank_description	db4p	FALSE
C05755	dcaACP	blank_description	dcaACP	FALSE
C03794	dcamp	blank_description	dcamp	FALSE
C00705	dcdp	blank_description	dcdp	FALSE
C00239	dcmp	blank_description	dcmp	FALSE
C00458	dctp	blank_description	dctp	FALSE
C05223	ddcaACP	blank_description	ddcaACP	FALSE
C00361	dgdp	blank_description	dgdp	FALSE
C00362	dgmp	blank_description	dgmp	FALSE
C00286	dgtp	blank_description	dgtp	FALSE
C00184	dha	blank_description	dha	FALSE
C00111	dhap	blank_description	dhap	FALSE
C00268	dhbpt	blank_description	dhbpt	FALSE
C05422	dhdascb	blank_description	dhdascb	FALSE
C00415	dhf	blank_description	dhf	FALSE
C02972	dhlpro	blank_description	dhlpro	FALSE
C04874	dhnpt	blank_description	dhnpt	FALSE
C00337	dhor__S	blank_description	dhor__S	FALSE
C00921	dhpt	blank_description	dhpt	FALSE
C06126	digalside_hs	blank_description	digalside_hs	FALSE
C04332	dmlz	blank_description	dmlz	FALSE
C00235	dmpp	blank_description	dmpp	FALSE
C00039	dna	blank_description	dna	FALSE
C02967	dna5mtc	blank_description	dna5mtc	FALSE
C00857	dnad	blank_description	dnad	FALSE
C00621	doldp	blank_description	doldp	FALSE
C00110	dolp	blank_description	dolp	FALSE
C01246	dolpglc	blank_description	dolpglc	FALSE
C00882	dpcoa	blank_description	dpcoa	FALSE
C02463	dscl	blank_description	dscl	FALSE
C01909	dtbt	blank_description	dtbt	FALSE
C00363	dtdp	blank_description	dtdp	FALSE
C00364	dtmp	blank_description	dtmp	FALSE
C00459	dttp	blank_description	dttp	FALSE
C01346	dudp	blank_description	dudp	FALSE
C00365	dump	blank_description	dump	FALSE
C00460	dutp	blank_description	dutp	FALSE
C05947	e4hglu	blank_description	e4hglu	FALSE
C00279	e4p	blank_description	e4p	FALSE
C04666	eig3p	blank_description	eig3p	FALSE
C05400	epm	blank_description	epm	FALSE
C00346	ethamp	blank_description	ethamp	FALSE
C00085	f6p	blank_description	f6p	FALSE
C05345	f6p_B	blank_description	f6p_B	FALSE
C00016	fad	blank_description	fad	FALSE
C01352	fadh2	blank_description	fadh2	FALSE
C00067	fald	blank_description	fald	FALSE
C00354	fdp	blank_description	fdp	FALSE
C05378	fdp_B	blank_description	fdp_B	FALSE
C14818	fe2	blank_description	fe2	FALSE
C04376	fgam	blank_description	fgam	FALSE
C00996	ficytb5	blank_description	ficytb5	FALSE
C00125	ficytC	blank_description	ficytC	FALSE
C00999	focytb5	blank_description	focytb5	FALSE
C00126	focytC	blank_description	focytC	FALSE
C00504	fol	blank_description	fol	FALSE
C00058	for	blank_description	for	FALSE
C04640	fpram	blank_description	fpram	FALSE
C04734	fprica	blank_description	fprica	FALSE
C00448	frdp	blank_description	frdp	FALSE
C00095	fru	blank_description	fru	FALSE
C02336	fru_B	blank_description	fru_B	FALSE
C00122	fum	blank_description	fum	FALSE
C00103	g1p	blank_description	g1p	FALSE
C00118	g3p	blank_description	g3p	FALSE
C00670	g3pc	blank_description	g3pc	FALSE
C00092	g6p	blank_description	g6p	FALSE
C00668	g6p_A	blank_description	g6p_A	FALSE
C01172	g6p_B	blank_description	g6p_B	FALSE
C00124	gal	blank_description	gal	FALSE
C00446	gal1p	blank_description	gal1p	FALSE
C00352	gam6p	blank_description	gam6p	FALSE
C03838	gar	blank_description	gar	FALSE
C00266	gcald	blank_description	gcald	FALSE
C05435	gcarote	blank_description	gcarote	FALSE
C00035	gdp	blank_description	gdp	FALSE
C00096	gdpmann	blank_description	gdpmann	FALSE
C00353	ggdp	blank_description	ggdp	FALSE
C00031	glc__D	blank_description	glc__D	FALSE
C00267	Glc_aD	blank_description	Glc_aD	FALSE
C00191	glcur	blank_description	glcur	FALSE
C00064	gln__L	blank_description	gln__L	FALSE
C02282	glntrna	blank_description	glntrna	FALSE
C02038	glp	blank_description	glp	FALSE
C00025	glu__L	blank_description	glu__L	FALSE
C03287	glu5p	blank_description	glu5p	FALSE
C01165	glu5sa	blank_description	glu5sa	FALSE
C00669	glucys	blank_description	glucys	FALSE
C00527	glutcoa	blank_description	glutcoa	FALSE
C02987	glutrna	blank_description	glutrna	FALSE
C06112	glutrna_gln	blank_description	glutrna_gln	FALSE
C00048	glx	blank_description	glx	FALSE
C00037	gly	blank_description	gly	FALSE
C00116	glyc	blank_description	glyc	FALSE
C00093	glyc3p	blank_description	glyc3p	FALSE
C02412	glytrna	blank_description	glytrna	FALSE
C00144	gmp	blank_description	gmp	FALSE
C00341	grdp	blank_description	grdp	FALSE
C00127	gthox	blank_description	gthox	FALSE
C00044	gtp	blank_description	gtp	FALSE
C00080	h	blank_description	h	FALSE
C00001	h2o,oh1	blank_description	h2o,oh1	FALSE
C00027	h2o2	blank_description	h2o2	FALSE
C00283	h2s	blank_description	h2s	FALSE
C04002	hacon_T,hacon_C	blank_description	hacon_T,hacon_C	FALSE
C00288	hco3	blank_description	hco3	FALSE
C00155	hcys__L	blank_description	hcys__L	FALSE
C00249	hdca	blank_description	hdca	FALSE
C05749	hexACP	blank_description	hexACP	FALSE
C01230	hexdp	blank_description	hexdp	FALSE
C05662	hicit	blank_description	hicit	FALSE
C00135	his__L	blank_description	his__L	FALSE
C01100	hisp	blank_description	hisp	FALSE
C00860	histd	blank_description	histd	FALSE
C02988	histrna	blank_description	histrna	FALSE
C03227	hLkynr	blank_description	hLkynr	FALSE
C01024	hmbil	blank_description	hmbil	FALSE
C00356	hmgcoa	blank_description	hmgcoa	FALSE
C00263	hom__L	blank_description	hom__L	FALSE
C04144	hpglu	blank_description	hpglu	FALSE
C15603	hqn	blank_description	hqn	FALSE
C00311	icit	blank_description	icit	FALSE
C00104	idp	blank_description	idp	FALSE
C00407	ile__L	blank_description	ile__L	FALSE
C03127	iletrna	blank_description	iletrna	FALSE
C01267	imacp	blank_description	imacp	FALSE
C00130	imp	blank_description	imp	FALSE
C00463	indole	blank_description	indole	FALSE
C00137	inost	blank_description	inost	FALSE
C00129	ipdp	blank_description	ipdp	FALSE
C00081	itp	blank_description	itp	FALSE
C00956	L2aadp	blank_description	L2aadp	FALSE
C04076	L2aadp6sa	blank_description	L2aadp6sa	FALSE
C00256	lac__D	blank_description	lac__D	FALSE
C01724	lanost	blank_description	lanost	FALSE
C00243	lcts	blank_description	lcts	FALSE
C00123	leu__L	blank_description	leu__L	FALSE
C00909	leuktrA4	blank_description	leuktrA4	FALSE
C02165	leuktrB4	blank_description	leuktrB4	FALSE
C02047	leutrna	blank_description	leutrna	FALSE
C03451	lgt__S	blank_description	lgt__S	FALSE
C16238	lipoamp	blank_description	lipoamp	FALSE
C00328	Lkynr	blank_description	Lkynr	FALSE
C02051	lpro	blank_description	lpro	FALSE
C05432	lycop	blank_description	lycop	FALSE
C00047	lys__L	blank_description	lys__L	FALSE
C01931	lystrna	blank_description	lystrna	FALSE
C05864	m4macchitppdol	blank_description	m4macchitppdol	FALSE
C00497	mal__D	blank_description	mal__D	FALSE
C00149	mal__L	blank_description	mal__L	FALSE
C01209	malACP	blank_description	malACP	FALSE
C00083	malcoa	blank_description	malcoa	FALSE
C00208	malt	blank_description	malt	FALSE
C00159	man	blank_description	man	FALSE
C00636	man1p	blank_description	man1p	FALSE
C00275	man6p	blank_description	man6p	FALSE
C05402	melib	blank_description	melib	FALSE
C08830	menecyart	blank_description	menecyart	FALSE
C00132	meoh	blank_description	meoh	FALSE
C00073	met__L	blank_description	met__L	FALSE
C00445	methf	blank_description	methf	FALSE
C15999	metsox_S__L	blank_description	metsox_S__L	FALSE
C02430	mettrna	blank_description	mettrna	FALSE
C00418	mev__R	blank_description	mev__R	FALSE
C04489	mhpglu	blank_description	mhpglu	FALSE
C04006	mi3p__D	blank_description	mi3p__D	FALSE
C00143	mlthf	blank_description	mlthf	FALSE
C05404	mnt	blank_description	mnt	FALSE
C06232	mobd	blank_description	mobd	FALSE
C19848	mptamp	blank_description	mptamp	FALSE
C00222	msa	blank_description	msa	FALSE
C00546	mthgxl	blank_description	mthgxl	FALSE
C05761	myrsACP	blank_description	myrsACP	FALSE
C00253	nac	blank_description	nac	FALSE
C00003	nad	blank_description	nad	FALSE
C00004	nadh	blank_description	nadh	FALSE
C00006	nadp	blank_description	nadp	FALSE
C00005	nadph	blank_description	nadph	FALSE
C05545	Ndmelys	blank_description	Ndmelys	FALSE
C05431	neuspn	blank_description	neuspn	FALSE
C00014	nh3	blank_description	nh3	FALSE
C01185	nicrnt	blank_description	nicrnt	FALSE
C00455	nmn	blank_description	nmn	FALSE
C02031	NO_BiGG	Guanosine 5'-triphospho-mRNA	V6HNpMPX	TRUE
C05764	NO_BiGG	Palmitoyl-[acyl-carrier protein]	NdsqNuRz	TRUE
C15811	NO_BiGG	Thiamine biosynthesis intermediate 2	56ddiG72	TRUE
C04748	NO_BiGG	Protein C-terminal S-farnesyl-L-cysteine methyl ester	Sb77Urj7	TRUE
C00721	NO_BiGG	Dextrin	L4okKQor	TRUE
C07300	NO_BiGG	Cutin monomer	jviCpWEk	TRUE
C03798	NO_BiGG	Peptidylproline (omega=180)	apXvvHh6	TRUE
C07281	NO_BiGG	[enzyme]-lysine	cMrxVXWd	TRUE
C00072	ascb__L	L-Ascorbate	ascb__L	FALSE
C16663	NO_BiGG	Tryparedoxin	T3aVJlFe	TRUE
C04160	NO_BiGG	tRNA containing N7-methylguanine	RqZJwS96	TRUE
C00986	13dampp	1,3-Diaminopropane	13dampp	FALSE
C07282	NO_BiGG	[eIF5A-precursor]-deoxyhypusine	XBJfFFSH	TRUE
C00173	NO_BiGG	Acyl-[acyl-carrier protein]	lwc87oyj	TRUE
C00046	NO_BiGG	RNA	FA2ZZ93b	TRUE
C04833	NO_BiGG	m7G(5')pppm6Am-mRNA	EbjcHOJS	TRUE
C05796	NO_BiGG	Galactan	YhMpHNVV	TRUE
C00422	tag_cho	Triglyceride	tag_cho	FALSE
C04253	NO_BiGG	Electron-transferring flavoprotein	2F1WhfM5	TRUE
C01251	NO_BiGG	Homocitrate	hcit	FALSE
C20751	NO_BiGG	N6-L-Threonylcarbamoyladenine in tRNA; t6A in tRNA	r1daVMKl	TRUE
C02320	NO_BiGG	R-S-Glutathione	RSgth	FALSE
C17552	NO_BiGG	2-Polyprenyl-6-methoxyphenol	tDR7Vatu	TRUE
C00496	NO_BiGG	Ubiquitin	kTLZh8dw	TRUE
C00585	NO_BiGG	Protein tyrosine; [Protein]-L-tyrosine	Z2m3lC4t	TRUE
C00030	NO_BiGG	Hydrogen-donor	7a3syC3k	TRUE
C01997	NO_BiGG	Histone N6-acetyl-L-lysine	dH9FYrL4	TRUE
C04696	NO_BiGG	m7GpppX	m7GpppX	FALSE
C06123	NO_BiGG	Hexadecenal	hxdceal	FALSE
C04856	NO_BiGG	(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide	HEAPitMH	TRUE
C14793	NO_BiGG	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene	dhGeK2sn	TRUE
C00693	NO_BiGG	trans-2,3-Dehydroacyl-[acyl-carrier protein]	Sug1qIXA	TRUE
C00454	NO_BiGG	NDP	NDP	FALSE
C17509	NO_BiGG	Thymine dimer; Cyclobutadithymine (in DNA); cis-syn Thymine dimer; T-T dimer	tthym	FALSE
C05924	NO_BiGG	Molybdopterin	mpt	FALSE
C11509	NO_BiGG	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde	X2rJ4h5o	TRUE
C17561	NO_BiGG	2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone	Xoi8KCIC	TRUE
C17324	NO_BiGG	tRNA adenine	3cBDzHEt	TRUE
C00195	NO_BiGG	N-Acylsphingosine	crm_cho	FALSE
C05394	NO_BiGG	3-Keto-beta-D-galactose	ySH9jaeI	TRUE
C16237	NO_BiGG	Protein N6-(lipoyl)lysine	Xv1si9sw	TRUE
C19858	NO_BiGG	2-Methoxy-6-all-trans-polyprenyl-1,4-benzoquinol	XYqo7cpZ	TRUE
C16254	NO_BiGG	S-Succinyldihydrolipoamide-E	sdhlame	FALSE
C02415	NO_BiGG	Histone-L-lysine	hisLlys	FALSE
C15972	NO_BiGG	Lipoamide-E	lpamE	FALSE
C20850	NO_BiGG	delta-N-Hydroxyornithine	dNhorn	FALSE
C02090	NO_BiGG	Trypanothione	trpthn	FALSE
C03023	NO_BiGG	Peptide-L-methionine	GFGdCQyk	TRUE
C20648	NO_BiGG	Adenine in rRNA	nMimQwCx	TRUE
C15973	NO_BiGG	Enzyme N6-(dihydrolipoyl)lysine; Dihydrolipoamide-E	PQSprhyc	TRUE
C00241	NO_BiGG	Amide	yXqW26xt	TRUE
C11455	NO_BiGG	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	uV8qqXXg	TRUE
C00060	NO_BiGG	Carboxylate; R-COOH; Monocarboxylate; Carboxylic acid	LF1ZXC3e	TRUE
C04230	NO_BiGG	2-Lysolecithin	JHpJyAWc	TRUE
C15854	NO_BiGG	N-(4-Aminobutylidene)-[eIF5A-precursor]-lysine	J3L4UzGT	TRUE
C05434	NO_BiGG	beta-Zeacarotene	wKzxEcKy	TRUE
C05379	NO_BiGG	Oxalosuccinate	oxlsucc	FALSE
C14787	NO_BiGG	(1S,2R)-Naphthalene 1,2-oxide	y2YLtNZm	TRUE
C05108	NO_BiGG	14-Demethyllanosterol	IAFGWRsZ	TRUE
C02339	NO_BiGG	m7G(5')pppR-mRNA	m7G5pppR__mRNA	FALSE
C02872	NO_BiGG	Peptide diphthamide	dtbddVNl	TRUE
C16739	NO_BiGG	L-Arginyl-protein	protarg	FALSE
C02686	NO_BiGG	Galactosylceramide	galside_cho	FALSE
C01290	NO_BiGG	Lactosylceramide	lside_cho	FALSE
C19859	NO_BiGG	6-Methoxy-3-methyl-2-all-trans-polyprenyl-1,4-benzoquinol	AKfKLEbK	TRUE
C00071	NO_BiGG	Aldehyde	cDI88QmN	TRUE
C04395	NO_BiGG	Phospho-[DNA-directed RNA polymerase]	JhF5TBSo	TRUE
C01525	NO_BiGG	R'C(R)SH	XmHPtpUT	TRUE
C02189	NO_BiGG	Protein L-serine	protser__L	FALSE
C01293	NO_BiGG	[Pyruvate dehydrogenase (acetyl-transferring)] phosphate	NPLiU6iE	TRUE
C16255	NO_BiGG	S-Acetyldihydrolipoamide-E	dCRfr4he	TRUE
C14806	NO_BiGG	1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene	Mo3ePW8R	TRUE
C05535	NO_BiGG	alpha-Aminoadipoyl-S-acyl enzyme	niarWoBt	TRUE
C17023	NO_BiGG	Sulfur donor	2riYEDag	TRUE
C16240	NO_BiGG	[Lipoyl-carrier protein]-L-lysine	k7xiG5OD	TRUE
C05983	NO_BiGG	Propionyladenylate	2X9YEeKl	TRUE
C03170	NO_BiGG	Trypanothione disulfide	3JsKeALv	TRUE
C16664	NO_BiGG	Tryparedoxin disulfide	RCt8Zqjl	TRUE
C02737	ps_cho	Phosphatidylserine	ps_cho	FALSE
C01867	NO_BiGG	tau-Protein	FcflDsR6	TRUE
C16236	NO_BiGG	Protein N6-(octanoyl)lysine	766iJKh2	TRUE
C17562	NO_BiGG	2-Polyprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone	AHh1HFfO	TRUE
C03633	NO_BiGG	Peptidylproline (omega=0)	ptdpro	FALSE
C03541	NO_BiGG	THF-polyglutamate	THFpglu	FALSE
C00028	NO_BiGG	Hydrogen-acceptor	JQYonyTU	TRUE
C03021	NO_BiGG	Protein L-asparagine	8E3mhPuM	TRUE
C04233	NO_BiGG	3-Lysolecithin	3llcth	FALSE
C05847	NO_BiGG	Polyisopentenylpyrophosphate	piptpp	FALSE
C05560	NO_BiGG	L-2-Aminoadipate adenylate	mXoATOLh	TRUE
C04039	NO_BiGG	2,3-Dihydroxy-3-methylbutanoate	nfATgSxw	TRUE
C20796	NO_BiGG	N6-Dimethyladenine in rRNA	8FyR8ieX	TRUE
C00157	NO_BiGG	Phosphatidylcholine	pchol_cho	FALSE
C00399	NO_BiGG	Ubiquinone	q	FALSE
C15602	NO_BiGG	Quinone	qnn	FALSE
C16239	NO_BiGG	Lipoyl-ACP	lipoacp	FALSE
C01086	NO_BiGG	(3R)-3-Hydroxyacyl-CoA	eceCvJlb	TRUE
C04679	NO_BiGG	[eIF5A-precursor]-hypusine	dUuFHEpl	TRUE
C00066	NO_BiGG	tRNA	trna	FALSE
C14803	NO_BiGG	1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene	YSuRq62N	TRUE
C01972	NO_BiGG	m7G(5')pppAm-mRNA	kWPaF5aS	TRUE
C20451	NO_BiGG	tRNA hypoxanthine	kVMydVsx	TRUE
C05923	NO_BiGG	2,5-Diaminopyrimidine nucleoside triphosphate	ScYx9yYk	TRUE
C17510	NO_BiGG	Two thymine residues (in DNA)	JiK4HyaS	TRUE
C15853	NO_BiGG	Dehydrospermidine	dhpmd	FALSE
C05729	NO_BiGG	R-S-Cysteinylglycine	hl3zhmZU	TRUE
C02411	NO_BiGG	Glutaconyl-CoA	gcoa	FALSE
C05804	NO_BiGG	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	rO4y4wMB	TRUE
C20483	NO_BiGG	(R)-NADPH-hydrate	s7Rmn62h	TRUE
C05359	NO_BiGG	Electron	e	FALSE
C00370	NO_BiGG	Sterol	8CJZpKaB	TRUE
C03862	NO_BiGG	Dolichyl phosphate D-mannose	upXs1XRu	TRUE
C06136	NO_BiGG	GA1	GA1	FALSE
C00470	NO_BiGG	Pectate	pectt	FALSE
C01885	NO_BiGG	Monoacylglycerol	mag_cho	FALSE
C14802	NO_BiGG	1-Nitronaphthalene-7,8-oxide	c1JEGsWv	TRUE
C20641	NO_BiGG	L-Threonylcarbamoyladenylate; L-Threonylcarbamoyl-AMP; TC-AMP	ZrJRcKSu	TRUE
C03959	NO_BiGG	[DNA-directed RNA polymerase]; [RNA polymerase]	QaOMwWaX	TRUE
C16738	NO_BiGG	Sulfuric monoester; Ester sulfate	1fAZo4qC	TRUE
