!!SBtab	SBtabVersion=’1.0’	TableType=’Reaction’	TableName=’K. brasiliensis SBTab Reaction Table’
!ID	!ReactionFormula	!Identifiers:kegg.reaction	!Identifiers:biocyc	!Gene:Symbol	!IsReversible
sbtabcomp27	CPD__45__15685 + C00001 <=> CPD__45__15686		RXN__45__14797	testGeneSymbol27	False
sbtabcomp28	C00180 + C00007 + C00005 + C00080 <=> C00156 + C00001 + C00006		BENZOATE__45__4__45__MONOOXYGENASE__45__RXN	testGeneSymbol28	False
sbtabcomp29	CPD__45__15684 + C00007 <=> CPD__45__15685 + C00027		RXN__45__14796	testGeneSymbol29	False
sbtabcomp30	C00864 + C00002 <=> C00080 + C03492 + C00008		PANTOTHENATE__45__KIN__45__RXN	testGeneSymbol30	False
sbtabcomp31	C00080 + C00966 + C00005 <=> C00522 + C00006		_2__45__DEHYDROPANTOATE__45__REDUCT__45__RXN	testGeneSymbol31	False
sbtabcomp32	CPD__45__15637 + C00007 <=> CPD__45__15666 + C00027		RXN__45__14771	testGeneSymbol32	False
sbtabcomp33	C06244 + C00001 <=> C00033 + C01342		RXN__45__14728	testGeneSymbol33	True
sbtabcomp34	CPD__45__11517 + C00007 <=> CPD__45__11518 + C00027		RXN__45__10696	testGeneSymbol34	False
sbtabcomp35	C01659 + C00001 <=> C01342 + C00511		R311__45__RXN	testGeneSymbol35	True
sbtabcomp36	C16331 + C00007 <=> CPD__45__11522 + C00027		RXN__45__10706	testGeneSymbol36	False
sbtabcomp37	C02693 + C00001 <=> C00954 + C01342		RXNN__45__404	testGeneSymbol37	True
sbtabcomp38	CPD__45__15668 + C00007 <=> CPD__45__15654 + C00027		RXN__45__14775	testGeneSymbol38	False
sbtabcomp39	C03078 + C00001 <=> C01342 + C01035		GUANIDINOBUTANAMIDE__45__NH3__45__RXN	testGeneSymbol39	False
sbtabcomp40	CPD__45__15436 + C00007 <=> CPD0__45__1162 + C00027		RXN__45__14576	testGeneSymbol40	False
sbtabcomp41	PROPIONAMIDE + C00001 <=> C00163 + C01342		RXN__45__14727	testGeneSymbol41	True
sbtabcomp42	C01041 + C00004 <=> C00080 + C00072 + C00003		_1__46__6__46__5__46__4__45__RXN	testGeneSymbol42	True
sbtabcomp43	CPD__45__15651 + C00007 <=> CPD__45__15675 + C00027		RXN__45__14785	testGeneSymbol43	False
sbtabcomp44	C00029 <=> C00052		UDPGLUCEPIM__45__RXN	testGeneSymbol44	True
sbtabcomp45	C06197 + C00001 <=> C00080 + C00020 + C00008		BIS5__45__ADENOSYL__45__TRIPHOSPHATASE__45__RXN	testGeneSymbol45	True
sbtabcomp46	cis__45__5__45__enoyl__45__CoA + C00007 <=> trans__45__2__45__cis__45__5__45__dienoyl__45__CoA + C00027		RXN__45__12518	testGeneSymbol46	False
sbtabcomp47	C00080 + C00078 + C00007 <=> C02700		RXN__45__8665	testGeneSymbol47	False
sbtabcomp48	_3__45__hydroxy__45__cis__45__D7__45__tetraecenoyl__45__ACPs + C00006 <=> _3__45__oxo__45__cis__45__D7__45__tetradecenoyl__45__ACPs + C00005 + C00080		RXN__45__10655	testGeneSymbol48	True
sbtabcomp49	C02041 + C00007 <=> POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C16__45__H32 + C00027		RXN__45__11026__45__CPD__45__9965__47__OXYGEN__45__MOLECULE__47____47__POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C16__45__H32__47__HYDROGEN__45__PEROXIDE__46__84__46__	testGeneSymbol49	False
sbtabcomp50	C00412 + C00007 <=> C16218 + C00027		RXN__45__11026__45__STEAROYL__45__COA__47__OXYGEN__45__MOLECULE__47____47__CPD__45__10262__47__HYDROGEN__45__PEROXIDE__46__58__46__	testGeneSymbol50	False
sbtabcomp51	C00154 + C00007 <=> POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C12__45__H24 + C00027		RXN__45__11026__45__PALMITYL__45__COA__47__OXYGEN__45__MOLECULE__47____47__POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C12__45__H24__47__HYDROGEN__45__PEROXIDE__46__88__46__	testGeneSymbol51	False
sbtabcomp52	C02593 + C00007 <=> POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C10__45__WATER + C00027		RXN__45__11026__45__TETRADECANOYL__45__COA__47__OXYGEN__45__MOLECULE__47____47__POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C10__45__H20__47__HYDROGEN__45__PEROXIDE__46__93__46__	testGeneSymbol52	False
sbtabcomp53	C01832 + C00007 <=> C03221 + C00027		RXN__45__11026__45__LAUROYLCOA__45__CPD__47__OXYGEN__45__MOLECULE__47____47__CPD__45__7222__47__HYDROGEN__45__PEROXIDE__46__59__46__	testGeneSymbol53	False
sbtabcomp54	C05274 + C00007 <=> C05275 + C00027		RXN__45__11026__45__CPD__45__10267__47__OXYGEN__45__MOLECULE__47____47__T2__45__DECENOYL__45__COA__47__HYDROGEN__45__PEROXIDE__46__61__46__	testGeneSymbol54	False
sbtabcomp55	C01944 + C00007 <=> C05276 + C00027		RXN__45__12669	testGeneSymbol55	False
sbtabcomp56	C05270 + C00007 <=> C05271 + C00027		RXN__45__11026__45__HEXANOYL__45__COA__47__OXYGEN__45__MOLECULE__47____47__CPD0__45__2121__47__HYDROGEN__45__PEROXIDE__46__58__46__	testGeneSymbol56	False
sbtabcomp57	C00136 + C00007 <=> C00877 + C00027		RXN__45__11026__45__BUTYRYL__45__COA__47__OXYGEN__45__MOLECULE__47____47__CROTONYL__45__COA__47__HYDROGEN__45__PEROXIDE__46__60__46__	testGeneSymbol57	False
sbtabcomp58	cis__45__cis__45__D9__45__27__45__3__45__hydroxyC46__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D9__45__27__45__3__45__oxo__45__C46__45__2__45__ACPs + C00005 + C00080		RXN1G__45__613	testGeneSymbol58	True
sbtabcomp59	cis__45__cis__45__D15__45__27__45__3__45__hydroxyC46__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D15__45__27__45__3__45__oxo__45__C46__45__2__45__ACPs + C00005 + C00080		RXN1G__45__481	testGeneSymbol59	True
sbtabcomp60	cis__45__cis__45__D19__45__37__45__3__45__hydroxyC56__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D19__45__37__45__3__45__oxo__45__C56__45__2__45__ACPs + C00005 + C00080		RXN1G__45__409	testGeneSymbol60	True
sbtabcomp61	C06001 + C00003 <=> C00080 + C00004 + C06002		_3__45__HYDROXYISOBUTYRATE__45__DEHYDROGENASE__45__RXN	testGeneSymbol61	False
sbtabcomp62	OH__45__ACYL__45__ACP + C00006 <=> B__45__KETOACYL__45__ACP + C00005 + C00080		_3__45__OXOACYL__45__ACP__45__REDUCT__45__RXN	testGeneSymbol62	True
sbtabcomp63	CPD__45__5168 + C01246 <=> CPD__45__5169 + C00110 + C00080		RXN__45__5470	testGeneSymbol63	False
sbtabcomp64	CPD__45__5167 + C03862 <=> CPD__45__5168 + C00110 + C00080		RXN__45__5469	testGeneSymbol64	False
sbtabcomp65	cis__45__cis__45__D17__45__29__45__3__45__hydroxyC48__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D17__45__29__45__3__45__oxo__45__C48__45__2__45__ACPs + C00005 + C00080		RXN1G__45__717	testGeneSymbol65	True
sbtabcomp66	CPD__45__5166 + C03862 <=> CPD__45__5167 + C00110 + C00080		RXN__45__5468	testGeneSymbol66	False
sbtabcomp67	C00267 + C00002 <=> C00080 + C00668 + C00008		RXN__45__1685	testGeneSymbol67	False
sbtabcomp68	CPD__45__5165 + C03862 <=> CPD__45__5166 + C00110 + C00080		RXN__45__5467	testGeneSymbol68	False
sbtabcomp69	CPD__45__5164 + C03862 <=> CPD__45__5165 + C00110 + C00080		RXN__45__5466	testGeneSymbol69	False
sbtabcomp70	CPD__45__5162 + C00096 <=> CPD__45__5164 + C00035 + C00080		RXN__45__5464	testGeneSymbol70	False
sbtabcomp71	b__45__Hydroxy__45__cis__45__D5__45__dodecenoyl__45__ACPs + C00006 <=> b__45__Keto__45__cis__45__D5__45__dodecenoyl__45__ACPs + C00005 + C00080		RXN0__45__2142	testGeneSymbol71	True
sbtabcomp72	C00221 + C00002 <=> C01172 + C00008 + C00080		GLUCOKIN__45__RXN	testGeneSymbol72	False
sbtabcomp73	C04537 + C00096 <=> C05860 + C00080 + C00035		_2__46__4__46__1__46__142__45__RXN	testGeneSymbol73	False
sbtabcomp74	C00031 + C00002 <=> C00092 + C00008 + C00080		RXN66__45__521	testGeneSymbol74	False
sbtabcomp75	C04500 + C00043 <=> C04537 + C00080 + C00015		_2__46__4__46__1__46__141__45__RXN	testGeneSymbol75	False
sbtabcomp76	cis__45__cis__45__D13__45__25__45__3__45__hydroxyC44__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D13__45__25__45__3__45__oxo__45__C44__45__2__45__ACPs + C00005 + C00080		RXN1G__45__203	testGeneSymbol76	True
sbtabcomp77	C21067 + C00003 <=> C00080 + C00004 + C00652		D__45__ARABINOSE__45__1__45__DEHYDROGENASE__45__RXN	testGeneSymbol77	False
sbtabcomp78	cis__45__cis__45__D7__45__19__45__3__45__hydroxyC38__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D7__45__19__45__3__45__oxo__45__C38__45__2__45__ACPs + C00005 + C00080		RXN1G__45__262	testGeneSymbol78	True
sbtabcomp79	C02143 + C00003 <=> C16581 + C00004 + C00080		D__45__THREO__45__ALDOSE__45__1__45__DEHYDROGENASE__45__RXN	testGeneSymbol79	True
sbtabcomp80	C00332 + C00005 + C00080 <=> C01144 + C00006		_3__45__HYDROXYBUTYRYL__45__COA__45__DEHYDROGENASE__45__RXN	testGeneSymbol80	False
sbtabcomp81	cis__45__cis__45__D19__45__31__45__3__45__hydroxyC50__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D19__45__31__45__3__45__oxo__45__C50__45__2__45__ACPs + C00005 + C00080		RXN1G__45__951	testGeneSymbol81	True
sbtabcomp82	cis__45__cis__45__D11__45__29__45__3__45__hydroxyC48__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D11__45__29__45__3__45__oxo__45__C48__45__2__45__ACPs + C00005 + C00080		RXN1G__45__853	testGeneSymbol82	True
sbtabcomp83	C04593 <=> C00042 + C00022		METHYLISOCITRATE__45__LYASE__45__RXN	testGeneSymbol83	False
sbtabcomp84	CPD__45__13694 + C00003 <=> CPD__45__13695 + C00004 + C00080		RXN__45__12705	testGeneSymbol84	True
sbtabcomp85	cis__45__cis__45__D21__45__39__45__3__45__hydroxyC58__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D21__45__39__45__3__45__oxo__45__C58__45__2__45__ACPs + C00005 + C00080		RXN1G__45__617	testGeneSymbol85	True
sbtabcomp86	cis__45__cis__45__D5__45__23__45__3__45__hydroxyC42__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D5__45__23__45__3__45__oxo__45__C42__45__2__45__ACPs + C00005 + C00080		RXN1G__45__182	testGeneSymbol86	True
sbtabcomp87	cis__45__cis__45__D15__45__33__45__3__45__hydroxyC52__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D15__45__33__45__3__45__oxo__45__C52__45__2__45__ACPs + C00005 + C00080		RXN1G__45__1247	testGeneSymbol87	True
sbtabcomp88	C06473 + C00005 + C00080 <=> C00257 + C00006		_1__46__1__46__1__46__215__45__RXN	testGeneSymbol88	False
sbtabcomp89	CPD__45__11519 + C00003 <=> CPD__45__11520 + C00004 + C00080		RXN__45__10698	testGeneSymbol89	True
sbtabcomp90	C02291 <=> C00080 + CPD__45__15056 + C00097		RXN__45__14048	testGeneSymbol90	False
sbtabcomp91	C00256 + C00006 <=> C00022 + C00005 + C00080		D__45__2__45__HYDROXY__45__ACID__45__DEHYDROGENASE__45__RXN	testGeneSymbol91	True
sbtabcomp92	cis__45__cis__45__D7__45__25__45__3__45__hydroxyC44__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D7__45__25__45__3__45__oxo__45__C44__45__2__45__ACPs + C00005 + C00080		RXN1G__45__384	testGeneSymbol92	True
sbtabcomp93	CPD__45__11523 + C00003 <=> CPD__45__11524 + C00004 + C00080		RXN__45__10702	testGeneSymbol93	True
sbtabcomp94	C06741 + C00001 <=> C01494 + C00420 + C00080		_3__46__1__46__1__46__73__45__RXN	testGeneSymbol94	False
sbtabcomp95	_3__45__Hydroxyglutaryl__45__ACP__45__methyl__45__ester + C00006 <=> _3__45__Ketoglutaryl__45__ACP__45__methyl__45__ester + C00005 + C00080		RXN__45__11476	testGeneSymbol95	True
sbtabcomp96	C00234 + L__45__methionyl__45__tRNAfmet <=> C00101 + N__45__formyl__45__L__45__methionyl__45__tRNAfmet		METHIONYL__45__TRNA__45__FORMYLTRANSFERASE__45__RXN	testGeneSymbol96	True
sbtabcomp97	CPD__45__12199 + C00003 <=> CPD__45__10600 + C00004 + C00080		RXN__45__11245	testGeneSymbol97	True
sbtabcomp98	R__45__3__45__hydroxypetroselinoyl__45__ACPs + C00006 <=> _3__45__oxo__45__eetroselinoyl__45__ACPs + C00005 + C00080		RXN__45__9552	testGeneSymbol98	True
sbtabcomp99	CPD__45__13757 + C00003 <=> CPD__45__13758 + C00004 + C00080		RXN__45__12750	testGeneSymbol99	True
sbtabcomp100	cis__45__cis__45__D11__45__23__45__3__45__hydroxyC42__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D11__45__23__45__3__45__oxo__45__C42__45__2__45__ACPs + C00005 + C00080		RXN1G__45__637	testGeneSymbol100	True
sbtabcomp101	_3__45__hydroxypimeloyl__45__ACP__45__methyl__45__esters + C00006 <=> _3__45__Ketopimeloyl__45__ACP__45__methyl__45__esters + C00005 + C00080		RXN__45__11480	testGeneSymbol101	True
sbtabcomp102	C14145 + C00003 <=> C00080 + C02232 + C00004		RXN0__45__2044	testGeneSymbol102	False
sbtabcomp103	cis__45__cis__45__D17__45__35__45__3__45__hydroxyC54__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D17__45__35__45__3__45__oxo__45__C54__45__2__45__ACPs + C00005 + C00080		RXN1G__45__184	testGeneSymbol103	True
sbtabcomp104	C00080 + C00025 <=> C00011 + C00334		GLUTDECARBOX__45__RXN	testGeneSymbol104	False
sbtabcomp105	C05264 + C00003 <=> C05265 + C00004 + C00080		RXN__45__12490	testGeneSymbol105	True
sbtabcomp106	POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C8__45__H16 + C00003 <=> C05263 + C00004 + C00080		OHACYL__45__COA__45__DEHYDROG__45__RXN__45__POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C8__45__H16__47__NAD__47____47__CPD0__45__2105__47__NADH__47__PROTON__46__67__46__	testGeneSymbol106	False
sbtabcomp107	POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C10__45__WATER + C00003 <=> C05261 + C00004 + C00080		OHACYL__45__COA__45__DEHYDROG__45__RXN__45__POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C10__45__H20__47__NAD__47____47__CPD__45__10284__47__NADH__47__PROTON__46__68__46__	testGeneSymbol107	False
sbtabcomp108	POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C14__45__H28 + C00003 <=> POLYMER__45__INST__45__3__45__KETOACYL__45__COA__45__C14__45__H28 + C00004 + C00080		OHACYL__45__COA__45__DEHYDROG__45__RXN__45__POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C14__45__H28__47__NAD__47____47__POLYMER__45__INST__45__3__45__KETOACYL__45__COA__45__C14__45__H28__47__NADH__47__PROTON__46__94__46__	testGeneSymbol108	False
sbtabcomp109	POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C16__45__H32 + C00003 <=> CPD__45__14271 + C00004 + C00080		OHACYL__45__COA__45__DEHYDROG__45__RXN__45__POLYMER__45__INST__45__L__45__3__45__HYDROXYACYL__45__COA__45__C16__45__H32__47__NAD__47____47__CPD__45__14271__47__NADH__47__PROTON__46__68__46__	testGeneSymbol109	False
sbtabcomp110	cis__45__cis__45__D5__45__17__45__3__45__hydroxyC36__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D5__45__17__45__3__45__oxo__45__C36__45__2__45__ACPs + C00005 + C00080		RXN1G__45__408	testGeneSymbol110	True
sbtabcomp111	CPD__45__11527 + C00003 <=> CPD__45__11528 + C00004 + C00080		RXN__45__10703	testGeneSymbol111	True
sbtabcomp112	cis__45__cis__45__D9__45__21__45__3__45__hydroxyC40__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D9__45__21__45__3__45__oxo__45__C40__45__2__45__ACPs + C00005 + C00080		RXN1G__45__252	testGeneSymbol112	True
sbtabcomp113	C05266 + C00003 <=> C05267 + C00004 + C00080		RXN__45__14275	testGeneSymbol113	False
sbtabcomp114	C05268 + C00003 <=> C05269 + C00004 + C00080		RXN__45__12570	testGeneSymbol114	True
sbtabcomp115	cis__45__cis__45__D13__45__31__45__3__45__hydroxyC50__45__2__45__ACPs + C00006 <=> cis__45__cis__45__D13__45__31__45__3__45__oxo__45__C50__45__2__45__ACPs + C00005 + C00080		RXN1G__45__1050	testGeneSymbol115	True
sbtabcomp116	C00469 + C00006 <=> C00084 + C00005 + C00080		RXN__45__12484	testGeneSymbol116	False
sbtabcomp117	Sulfurated__45__Sulfur__45__Acceptors + C01326 <=> Unsulfurated__45__Sulfur__45__Acceptors + C01755 + C00080		RXN0__45__6359	testGeneSymbol117	False
sbtabcomp118	C03561 + C00006 <=> C00332 + C00005 + C00080		RXN__45__5901	testGeneSymbol118	True
sbtabcomp119	C01144 + C00003 <=> C00332 + C00004 + C00080		RXN__45__11662	testGeneSymbol119	True
sbtabcomp120	CPD__45__14422 + C00005 + C00080 <=> CPD__45__14419 + C00006		RXN__45__12994__45__CPD__45__14422__47__NADPH__47__PROTON__47____47__CPD__45__14419__47__NADP__46__39__46__	testGeneSymbol120	False
sbtabcomp121	CPD__45__14422 + C00004 + C00080 <=> CPD__45__14419 + C00003		RXN__45__12994__45__CPD__45__14422__47__NADH__47__PROTON__47____47__CPD__45__14419__47__NAD__46__37__46__	testGeneSymbol121	False
sbtabcomp122	C02291 + C00001 <=> C00109 + C00097 + C01342		RXN__45__15130	testGeneSymbol122	False
sbtabcomp123	CPD__45__14423 + C00005 + C00080 <=> CPD__45__14424 + C00006		RXN__45__13443__45__CPD__45__14423__47__NADPH__47__PROTON__47____47__CPD__45__14424__47__NADP__46__39__46__	testGeneSymbol123	False
sbtabcomp124	CPD__45__14423 + C00004 + C00080 <=> CPD__45__14424 + C00003		RXN__45__13443__45__CPD__45__14423__47__NADH__47__PROTON__47____47__CPD__45__14424__47__NAD__46__37__46__	testGeneSymbol124	False
sbtabcomp125	CPD__45__15663 + C00001 <=> CPD__45__15658		RXN__45__14794	testGeneSymbol125	False
sbtabcomp126	CPD__45__15662 + C00003 <=> CPD__45__15678 + C00004 + C00080		RXN__45__14792	testGeneSymbol126	False
sbtabcomp127	CPD__45__15661 + C00001 <=> CPD__45__15662		RXN__45__14791	testGeneSymbol127	False
sbtabcomp128	C00006 + C00116 <=> C00080 + C00184 + C00005		GLYCEROL__45__2__45__DEHYDROGENASE__45__NADP__43____45__RXN	testGeneSymbol128	False
sbtabcomp129	C00132 + C00003 <=> C00080 + C00067 + C00004		METHANOL__45__DEHYDROGENASE__45__RXN	testGeneSymbol129	False
sbtabcomp130	C00001 + C00002 <=> C00080 + C00009 + C00008		_3__46__6__46__4__46__5__45__RXN	testGeneSymbol130	False
sbtabcomp131	C00116 + C00006 <=> C00577 + C00005 + C00080		GLYCEROL__45__DEHYDROGENASE__45__NADP__43____45__RXN	testGeneSymbol131	False
sbtabcomp132	C00136 + C00006 <=> C00877 + C00005 + C00080		TRANSENOYLCOARED__45__RXN__45__BUTYRYL__45__COA__47__NADP__47____47__CROTONYL__45__COA__47__NADPH__47__PROTON__46__44__46__	testGeneSymbol132	False
sbtabcomp133	C01832 + C00006 <=> C03221 + C00005 + C00080		TRANSENOYLCOARED__45__RXN__45__LAUROYLCOA__45__CPD__47__NADP__47____47__CPD__45__7222__47__NADPH__47__PROTON__46__43__46__	testGeneSymbol133	False
sbtabcomp134	C01944 + C00006 <=> C05276 + C00005 + C00080		TRANSENOYLCOARED__45__RXN__45__CPD__45__196__47__NADP__47____47__CPD0__45__2108__47__NADPH__47__PROTON__46__37__46__	testGeneSymbol134	False
sbtabcomp135	C05274 + C00006 <=> C05275 + C00005 + C00080		TRANSENOYLCOARED__45__RXN__45__CPD__45__10267__47__NADP__47____47__T2__45__DECENOYL__45__COA__47__NADPH__47__PROTON__46__45__46__	testGeneSymbol135	False
sbtabcomp136	C05270 + C00006 <=> C05271 + C00005 + C00080		TRANSENOYLCOARED__45__RXN__45__HEXANOYL__45__COA__47__NADP__47____47__CPD0__45__2121__47__NADPH__47__PROTON__46__42__46__	testGeneSymbol136	False
sbtabcomp137	C00019 + C01092 <=> C04425 + C01037		DAPASYN__45__RXN	testGeneSymbol137	True
sbtabcomp138	C00011 + C01037 + C00002 <=> C00080 + C01909 + C00009 + C00008		DETHIOBIOTIN__45__SYN__45__RXN	testGeneSymbol138	False
sbtabcomp139	C05440 + C00005 + C00080 <=> C01694 + C00006		_1__46__3__46__1__46__71__45__RXN	testGeneSymbol139	False
sbtabcomp140	C00962 + C00007 <=> C03269 + C00027		GALACTOSE__45__OXIDASE__45__RXN	testGeneSymbol140	False
sbtabcomp141	C00141 + BCAA__45__dehydrogenase__45__lipoyl + C00080 <=> BCAA__45__dehydrogenase__45__2MP__45__DH__45__lipoyl + C00011		_1__46__2__46__4__46__4__45__RXN	testGeneSymbol141	False
sbtabcomp142	C00109 + C00010 + C00003 <=> C00100 + C00011 + C00004		RXN__45__7790	testGeneSymbol142	True
sbtabcomp143	BCAA__45__dehydrogenase__45__DH__45__lipoyl + C00003 <=> BCAA__45__dehydrogenase__45__lipoyl + C00004 + C00080		RXN__45__7719	testGeneSymbol143	False
sbtabcomp144	BCAA__45__dehydrogenase__45__2MP__45__DH__45__lipoyl + C00010 <=> C00630 + BCAA__45__dehydrogenase__45__DH__45__lipoyl		_2__46__3__46__1__46__168__45__RXN	testGeneSymbol144	False
sbtabcomp145	C01233 + C00001 <=> C00093 + C00189 + C00080		RXN__45__14160	testGeneSymbol145	False
sbtabcomp146	C00141 + C00010 + C00003 <=> C00630 + C00011 + C00004		_1__46__2__46__1__46__25__45__RXN	testGeneSymbol146	False
sbtabcomp147	CPD__45__8355 + C00510 <=> C00010 + CPD__45__8291		RXN__45__15036	testGeneSymbol147	False
sbtabcomp148	C00641 + C00307 <=> C00157 + C00055 + C00080		RXN__45__5781	testGeneSymbol148	False
sbtabcomp149	C02917 + C00003 <=> C00424 + C00004 + C00080		LACTALDREDUCT__45__RXN	testGeneSymbol149	True
sbtabcomp150	C00003 + C01904 <=> C00080 + C00004 + C00309		_1__46__1__46__1__46__250__45__RXN	testGeneSymbol150	True
sbtabcomp151	C00035 + C00008 <=> C00044 + C00020		RXN__45__14074	testGeneSymbol151	True
sbtabcomp152	C00361 + C00002 <=> C00286 + C00008		DGDPKIN__45__RXN	testGeneSymbol152	False
sbtabcomp153	C00002 + C01344 <=> C00008 + C01345		RXN__45__14228	testGeneSymbol153	False
sbtabcomp154	C00206 + C00002 <=> C00131 + C00008		DADPKIN__45__RXN	testGeneSymbol154	False
sbtabcomp155	C01346 + C00002 <=> C00460 + C00008		DUDPKIN__45__RXN	testGeneSymbol155	False
sbtabcomp156	C00705 + C00002 <=> C00458 + C00008		DCDPKIN__45__RXN	testGeneSymbol156	False
sbtabcomp157	C00112 + C00002 <=> C00063 + C00008		CDPKIN__45__RXN	testGeneSymbol157	False
sbtabcomp158	C00015 + C00002 <=> C00075 + C00008		UDPKIN__45__RXN	testGeneSymbol158	False
